RowName,Frame,Timestamp,nose_X,nose_Y,nose_Z,left_shoulder_X,left_shoulder_Y,left_shoulder_Z,right_shoulder_X,right_shoulder_Y,right_shoulder_Z,left_elbow_X,left_elbow_Y,left_elbow_Z,right_elbow_X,right_elbow_Y,right_elbow_Z,left_wrist_X,left_wrist_Y,left_wrist_Z,right_wrist_X,right_wrist_Y,right_wrist_Z,left_hip_X,left_hip_Y,left_hip_Z,right_hip_X,right_hip_Y,right_hip_Z,left_knee_X,left_knee_Y,left_knee_Z,right_knee_X,right_knee_Y,right_knee_Z,left_ankle_X,left_ankle_Y,left_ankle_Z,right_ankle_X,right_ankle_Y,right_ankle_Z
60,60,2.0689655172413794,0,0,0,57.59,-31.24,42.61,19.35,-32.21,48.79,64.5,-14.73,37.78,11.18,-16.13,62.76,68.26,-0.26,87.91,5.49,-3.68,126.63,42.31,1.88,-5.44,19.78,0.48,5.51,37.76,23.72,-36.23,19.94,22.58,19.3,31.26,42.64,-112.65,16.45,43.25,-35.55
61,61,2.103448275862069,0,0,0,57.46,-31.48,54.61,19.23,-32.25,60.04,64.31,-14.92,44.75,11.08,-16.22,63.48,68.0,-0.32,91.45,3.79,-3.67,119.74,42.3,1.61,-5.4,19.85,0.21,5.47,37.76,23.79,-31.83,20.54,22.59,7.14,30.88,43.12,-107.73,17.24,43.76,-50.26
62,62,2.1379310344827585,0,0,0,57.39,-31.65,56.25,19.21,-32.31,60.19,64.16,-15.06,47.05,10.85,-16.24,63.04,67.62,-0.35,95.55,2.95,-3.67,116.59,42.31,1.51,-5.17,20.03,0.15,5.24,37.7,24.0,-31.74,20.72,22.74,1.13,30.68,43.52,-111.3,17.88,44.2,-58.45
63,63,2.1724137931034484,0,0,0,57.16,-31.81,62.21,18.68,-32.31,65.03,64.05,-15.12,50.85,9.89,-16.05,63.72,67.23,-0.36,98.1,0.98,-3.25,116.02,42.35,1.4,-3.81,20.29,0.14,3.88,37.58,24.09,-25.52,21.29,22.88,5.92,30.53,43.56,-111.34,19.55,44.1,-60.91
64,64,2.206896551724138,0,0,0,56.74,-31.88,63.25,17.84,-32.31,63.37,63.44,-15.13,54.02,8.88,-15.77,63.35,66.65,-0.41,104.6,-0.59,-3.23,117.44,42.34,1.31,-2.07,20.25,0.03,2.14,37.5,24.11,-23.74,21.66,22.8,10.09,29.79,43.73,-112.89,22.47,44.14,-61.18
65,65,2.2413793103448274,0,0,0,56.18,-31.99,58.95,16.91,-32.31,45.66,62.75,-15.11,53.5,7.89,-15.56,38.37,65.45,-0.46,103.55,-2.51,-2.99,86.26,42.32,1.32,2.17,20.19,0.05,-2.09,37.15,24.41,-27.12,22.06,23.17,-17.26,29.63,43.86,-124.35,23.25,44.93,-91.95
66,66,2.2758620689655173,0,0,0,55.36,-32.1,72.47,16.28,-32.31,47.53,61.67,-15.09,65.84,6.4,-15.48,41.62,64.44,-0.46,112.8,-5.23,-2.55,90.11,42.25,1.35,6.3,20.15,0.26,-6.22,36.86,24.65,-28.05,22.29,24.0,-37.44,29.5,44.03,-130.73,24.83,45.54,-116.38
67,67,2.310344827586207,0,0,0,54.54,-32.27,66.66,15.6,-32.35,26.45,60.67,-15.09,59.7,5.29,-15.51,16.13,63.45,-0.45,90.21,-7.02,-2.74,61.25,41.97,1.52,9.85,19.9,0.47,-9.76,36.39,25.05,-12.51,22.71,24.91,-27.73,27.97,45.15,-90.87,26.94,46.05,-103.09
68,68,2.3448275862068964,0,0,0,53.77,-32.35,50.15,14.66,-32.41,10.79,59.71,-15.09,42.28,3.93,-15.61,-2.88,62.73,-0.43,71.72,-10.84,-2.86,36.87,41.52,1.87,12.52,19.45,1.13,-12.41,36.08,25.84,-3.83,22.9,26.4,-25.69,27.46,46.12,-77.56,28.28,46.87,-104.41
69,69,2.3793103448275863,0,0,0,52.66,-32.42,50.18,13.26,-32.41,27.49,58.93,-15.09,43.46,2.19,-15.8,20.35,62.32,-0.42,81.56,-14.01,-3.07,67.52,41.48,1.97,9.2,19.42,1.6,-9.1,36.1,26.01,-4.66,23.06,26.9,-22.38,27.93,45.9,-109.33,27.59,47.84,-99.11
70,70,2.413793103448276,0,0,0,51.31,-32.51,50.8,11.74,-32.36,30.06,58.3,-15.12,44.06,-0.05,-15.89,28.36,62.04,-0.42,84.97,-16.98,-3.18,78.52,41.47,2.02,8.66,19.4,1.93,-8.54,36.12,25.98,-26.39,23.36,27.07,-21.08,28.18,45.69,-130.82,26.84,48.39,-95.28
71,71,2.4482758620689653,0,0,0,49.77,-32.74,51.19,10.09,-32.35,46.54,57.65,-15.18,42.77,-1.96,-16.13,50.02,61.95,-0.41,84.92,-19.53,-3.9,100.96,41.33,2.04,2.99,19.26,2.09,-2.87,36.7,25.9,-40.54,23.51,26.76,-16.38,28.34,45.55,-144.91,26.19,48.57,-89.25
72,72,2.4827586206896552,0,0,0,48.77,-33.1,48.31,8.31,-32.39,48.46,56.88,-15.32,36.35,-5.0,-16.26,53.45,61.77,-0.43,78.8,-23.66,-3.92,104.5,40.99,2.04,-1.53,18.56,2.15,1.63,37.44,26.21,-42.96,23.31,27.26,-7.32,28.41,45.05,-156.01,25.9,48.84,-87.5
73,73,2.5172413793103448,0,0,0,47.65,-33.61,50.74,6.76,-32.77,52.64,56.03,-15.71,38.7,-7.4,-16.72,56.45,61.34,-0.64,81.39,-28.02,-4.08,104.73,40.36,2.1,-1.79,17.3,2.28,1.9,37.83,26.35,-42.81,23.18,27.71,-7.63,28.66,44.18,-156.24,25.72,49.02,-94.71
74,74,2.5517241379310347,0,0,0,46.64,-33.99,46.77,4.42,-33.04,46.87,55.42,-16.02,38.93,-10.06,-16.76,53.62,61.09,-1.0,82.88,-30.55,-4.87,107.38,39.86,2.11,-1.62,16.25,2.41,1.73,38.8,26.33,-40.68,22.35,27.75,-8.1,30.82,42.28,-161.89,25.5,49.35,-83.22
75,75,2.586206896551724,0,0,0,45.44,-34.35,47.96,2.66,-33.57,45.98,54.86,-16.37,44.26,-11.95,-17.01,57.03,60.81,-1.4,96.25,-31.6,-6.03,120.25,39.65,1.94,-1.66,15.33,2.38,1.77,39.78,26.3,-38.81,21.42,27.81,-7.28,33.12,41.44,-157.9,25.12,49.05,-83.3
76,76,2.6206896551724137,0,0,0,44.1,-34.71,48.01,1.82,-34.04,45.7,53.97,-16.79,46.84,-13.58,-17.15,56.5,60.53,-1.9,100.22,-34.72,-6.82,118.33,39.4,1.78,-1.52,14.63,2.37,1.62,41.08,25.65,-37.96,19.46,27.72,-8.54,35.22,41.38,-157.61,24.21,49.12,-82.35
77,77,2.6551724137931036,0,0,0,43.46,-34.94,53.52,1.41,-34.35,45.68,53.3,-17.05,54.13,-14.34,-17.36,54.84,60.36,-2.22,110.14,-36.18,-6.88,112.29,39.12,1.6,-1.16,13.95,2.35,1.27,41.77,25.41,-37.91,18.19,27.73,-10.36,36.93,41.49,-154.82,23.84,49.05,-82.72
78,78,2.689655172413793,0,0,0,42.01,-35.5,52.09,0.49,-34.65,44.06,52.21,-17.54,53.56,-15.58,-17.79,54.59,59.7,-2.49,106.16,-37.82,-7.17,107.46,38.54,1.57,-1.21,13.2,2.42,1.32,43.27,24.97,-43.51,17.5,27.76,-12.62,40.86,41.59,-157.37,23.61,49.03,-83.14
79,79,2.7241379310344827,0,0,0,40.72,-35.92,52.14,-0.86,-34.96,52.25,50.69,-17.78,52.19,-17.04,-18.03,59.94,58.69,-2.81,101.27,-39.85,-7.39,112.37,37.83,1.37,-3.53,12.31,2.44,3.64,44.6,24.86,-45.62,17.01,27.87,-9.56,45.43,41.66,-153.39,23.12,49.03,-84.51
80,80,2.7586206896551726,0,0,0,39.56,-36.3,52.72,-1.98,-35.3,53.61,49.45,-18.01,50.6,-18.09,-18.47,62.52,57.56,-2.93,100.23,-40.45,-7.77,116.75,36.65,1.06,-3.31,11.17,2.43,3.42,45.53,24.67,-43.83,16.32,27.88,-9.72,49.53,41.89,-128.58,22.58,49.06,-84.97
81,81,2.793103448275862,0,0,0,38.56,-36.68,50.28,-3.37,-35.58,47.35,48.36,-18.16,45.3,-18.86,-18.74,61.53,56.42,-3.03,85.52,-41.04,-8.07,116.16,35.62,0.68,-3.13,9.95,2.36,3.23,46.27,24.69,-39.52,15.64,27.89,-9.96,53.85,42.14,-120.7,21.97,49.09,-80.35
82,82,2.8275862068965516,0,0,0,37.46,-37.01,42.59,-4.31,-36.05,33.37,47.49,-18.39,36.06,-19.1,-19.24,46.7,55.64,-3.11,69.77,-40.97,-8.07,97.67,34.87,0.22,-1.6,8.99,2.2,1.71,46.55,24.55,-30.28,14.64,27.87,-10.46,57.3,42.46,-102.58,21.28,49.31,-70.83
83,83,2.8620689655172415,0,0,0,36.25,-37.3,43.05,-5.64,-36.35,37.23,46.9,-18.62,40.88,-19.23,-19.38,53.34,55.8,-3.47,78.42,-40.36,-7.9,112.27,34.25,-0.07,-1.04,7.9,2.12,1.15,47.72,24.6,-26.19,13.72,27.97,-10.8,62.12,43.44,-96.67,20.5,49.51,-74.73
84,84,2.896551724137931,0,0,0,35.42,-37.41,41.15,-6.69,-36.38,33.96,46.75,-18.78,39.57,-19.74,-19.33,52.34,56.01,-3.93,81.18,-39.71,-7.8,111.16,33.71,-0.14,-0.33,7.36,2.11,0.45,48.79,24.65,-18.06,13.19,28.18,-10.88,64.13,43.83,-82.97,19.92,49.57,-75.77
85,85,2.9310344827586206,0,0,0,34.64,-37.58,36.93,-7.5,-36.48,25.58,46.88,-18.97,27.29,-19.56,-19.45,37.85,56.32,-4.15,56.82,-39.27,-7.54,89.26,33.36,-0.15,1.21,6.85,2.11,-1.09,49.56,24.8,-15.88,12.9,28.32,-13.55,65.37,44.01,-83.27,19.51,49.58,-78.91
86,86,2.9655172413793105,0,0,0,33.93,-37.69,29.26,-8.45,-36.46,23.57,46.89,-19.22,23.07,-19.51,-19.38,39.47,57.7,-4.87,59.24,-38.75,-7.5,93.96,33.0,-0.12,1.11,6.31,2.12,-0.99,49.89,24.87,-8.7,12.53,28.52,-11.22,66.02,44.21,-66.97,19.24,49.73,-75.56
87,87,3.0,0,0,0,33.31,-37.77,33.06,-9.53,-36.39,27.35,47.15,-19.46,24.05,-19.98,-18.85,42.34,59.95,-5.45,57.57,-38.52,-6.79,96.3,32.79,-0.09,1.23,5.7,2.25,-1.1,50.49,25.16,-6.49,12.21,28.71,-13.4,66.22,44.9,-63.2,19.06,49.89,-82.53
88,88,3.0344827586206895,0,0,0,33.04,-37.98,35.94,-9.95,-36.47,29.1,47.35,-19.8,25.19,-19.82,-18.76,42.71,62.24,-5.99,54.71,-38.41,-5.85,97.91,32.51,-0.08,2.37,5.38,2.33,-2.23,50.31,25.35,-3.09,12.02,28.81,-21.76,66.26,45.81,-59.58,18.96,49.91,-99.04
89,89,3.0689655172413794,0,0,0,32.82,-38.24,37.46,-10.24,-36.62,21.94,47.83,-20.55,36.0,-19.78,-18.72,28.27,66.01,-7.43,72.21,-38.0,-4.72,80.17,32.09,-0.06,5.81,4.7,2.33,-5.66,49.91,25.97,1.04,11.83,28.84,-29.07,65.16,47.3,-48.69,18.84,49.91,-104.63
90,90,3.103448275862069,0,0,0,32.55,-38.43,43.89,-10.62,-36.68,24.55,48.99,-21.51,41.74,-19.88,-18.47,30.66,69.48,-8.5,78.89,-37.56,-3.64,83.99,31.78,-0.05,7.01,4.29,2.33,-6.85,49.84,26.34,0.89,11.65,28.98,-30.72,64.03,48.72,-46.16,18.75,49.93,-108.86
91,91,3.1379310344827585,0,0,0,32.59,-38.59,41.71,-11.0,-36.7,26.21,50.36,-21.86,40.51,-19.93,-17.88,34.27,72.02,-9.42,75.72,-37.08,-2.92,87.47,31.43,-0.04,6.11,3.74,2.33,-5.96,48.27,26.57,1.44,11.44,29.1,-26.51,63.31,50.04,-37.54,18.6,49.95,-100.91
92,92,3.1724137931034484,0,0,0,32.72,-38.7,38.09,-11.17,-36.73,23.25,51.41,-22.02,36.9,-19.94,-17.45,30.1,74.09,-9.85,69.97,-36.42,-2.14,78.49,31.27,0.04,6.23,3.5,2.36,-6.07,47.17,27.16,4.53,11.24,29.25,-24.82,63.13,51.24,-31.24,18.63,50.15,-97.98
93,93,3.206896551724138,0,0,0,32.8,-38.87,38.33,-11.38,-36.78,24.57,52.43,-22.46,37.99,-19.87,-17.18,31.44,76.72,-11.46,76.51,-35.43,-1.9,80.88,31.0,0.45,5.98,3.39,2.69,-5.82,44.6,27.61,-0.16,11.25,29.38,-26.75,58.48,52.23,-46.61,18.67,50.15,-102.43
94,94,3.2413793103448274,0,0,0,32.89,-39.13,33.73,-11.38,-36.77,22.55,53.58,-22.67,35.38,-19.81,-16.94,28.14,78.56,-12.27,76.45,-34.6,-1.84,76.02,30.7,0.68,5.73,3.01,2.78,-5.57,42.0,28.35,4.13,11.21,29.51,-20.95,53.73,53.24,-36.62,18.7,50.12,-100.73
95,95,3.2758620689655173,0,0,0,32.99,-39.38,47.18,-11.7,-36.83,33.41,54.93,-23.01,45.99,-19.77,-16.98,37.57,80.57,-12.71,89.65,-33.68,-1.88,92.91,30.2,0.76,6.5,2.51,2.79,-6.34,39.2,28.93,10.04,11.04,29.56,-33.86,48.39,53.71,-43.06,18.74,49.98,-130.44
96,96,3.310344827586207,0,0,0,33.04,-39.7,49.9,-11.61,-37.12,40.77,55.23,-23.59,44.14,-19.76,-17.0,41.98,82.06,-13.67,88.91,-33.24,-1.93,93.52,29.31,0.82,6.47,1.7,2.69,-6.3,35.49,29.11,17.78,10.91,29.4,-31.8,42.61,54.63,-22.64,18.74,49.49,-128.59
97,97,3.3448275862068964,0,0,0,33.25,-40.01,49.95,-11.54,-37.25,35.52,55.93,-24.3,52.67,-19.69,-17.21,32.19,84.17,-14.29,95.98,-33.21,-1.88,80.48,28.49,0.95,9.16,0.93,2.59,-8.99,31.66,29.4,17.75,10.4,29.37,-31.48,36.2,55.15,-24.29,18.75,49.49,-118.64
98,98,3.3793103448275863,0,0,0,33.58,-40.27,61.82,-11.55,-37.41,43.1,56.82,-24.56,66.47,-19.58,-17.36,43.3,85.46,-14.49,114.61,-33.29,-1.97,100.44,27.4,1.0,10.19,0.24,2.31,-10.02,28.12,29.97,14.24,9.52,29.36,-33.0,30.39,55.58,-33.42,18.76,49.7,-124.2
99,99,3.413793103448276,0,0,0,33.78,-40.54,55.76,-11.52,-37.82,40.27,57.42,-25.11,61.3,-19.26,-17.95,38.71,86.5,-14.95,113.22,-33.35,-1.98,99.41,26.42,1.16,9.56,-0.04,2.22,-9.39,24.8,30.46,12.1,9.4,29.8,-21.75,23.99,56.73,-30.14,18.96,50.88,-108.32
100,100,3.4482758620689653,0,0,0,34.11,-40.81,46.89,-11.45,-38.05,31.55,57.97,-25.54,57.03,-19.0,-18.22,28.13,86.94,-15.44,110.16,-33.31,-2.09,80.7,25.21,1.19,9.18,-0.32,2.05,-9.02,20.92,30.59,12.02,9.21,30.12,-7.91,18.87,57.31,-33.83,18.67,52.18,-88.86
101,101,3.4827586206896552,0,0,0,34.5,-40.89,40.7,-11.4,-38.21,30.04,58.54,-25.81,55.18,-19.0,-18.32,28.57,88.21,-15.46,103.35,-33.68,-2.36,79.34,24.36,1.27,8.3,-0.81,2.02,-8.12,19.22,30.62,11.57,8.77,30.59,-3.11,14.93,57.38,-39.15,17.24,52.69,-82.98
102,102,3.5172413793103448,0,0,0,35.03,-40.94,41.16,-11.34,-38.38,28.55,59.22,-25.72,56.5,-18.99,-18.33,26.08,89.94,-15.24,102.5,-34.32,-2.74,75.33,22.9,1.81,9.55,-1.18,2.03,-9.37,17.43,31.46,15.6,7.41,30.66,-10.02,11.44,58.64,-31.03,16.48,52.58,-98.71
103,103,3.5517241379310347,0,0,0,35.67,-41.1,47.47,-11.24,-38.44,32.45,59.72,-25.69,57.74,-18.98,-18.2,28.2,91.16,-15.21,102.38,-34.48,-3.27,81.39,22.27,2.27,9.68,-1.79,2.08,-9.5,16.7,32.26,14.23,6.24,31.22,-10.7,11.27,58.91,-48.83,15.4,52.51,-108.69
104,104,3.586206896551724,0,0,0,36.47,-41.2,48.97,-10.62,-38.67,32.57,61.3,-25.55,58.83,-18.85,-18.23,28.82,93.02,-15.05,104.55,-34.57,-4.11,86.34,21.86,2.41,10.27,-2.37,2.07,-10.1,15.66,32.86,15.93,3.61,31.7,-1.87,11.21,59.37,-51.99,13.86,51.8,-108.46
105,105,3.6206896551724137,0,0,0,37.17,-41.57,59.76,-10.39,-39.35,38.73,62.38,-25.45,77.57,-18.78,-18.52,35.54,94.26,-14.99,135.23,-34.77,-5.32,97.19,21.93,2.36,11.1,-3.08,1.91,-10.94,15.1,32.76,21.08,-1.04,31.58,9.18,11.13,59.79,-51.76,11.86,50.3,-107.85
106,106,3.6551724137931036,0,0,0,37.7,-41.87,58.9,-9.97,-39.93,33.6,63.79,-25.38,68.34,-18.78,-18.59,34.42,95.42,-15.08,120.16,-36.15,-6.55,96.76,22.23,2.56,10.89,-3.55,1.93,-10.73,15.56,33.75,18.49,-5.03,31.48,18.03,11.33,59.84,-62.01,9.88,51.09,-96.12
107,107,3.689655172413793,0,0,0,37.97,-42.5,44.53,-9.74,-40.4,22.68,63.26,-25.48,58.83,-18.76,-19.0,24.21,94.84,-15.54,118.51,-37.09,-7.34,91.64,22.5,2.52,10.72,-3.7,1.94,-10.57,16.29,33.75,20.84,-6.61,31.33,24.04,11.25,59.86,-56.35,8.95,51.11,-96.72
108,108,3.7241379310344827,0,0,0,38.34,-43.1,42.04,-9.46,-40.91,19.15,63.24,-25.58,55.56,-18.97,-19.68,20.98,95.36,-16.01,113.79,-39.98,-8.16,91.37,22.68,2.49,11.22,-4.24,1.85,-11.07,16.81,33.82,26.46,-10.29,30.94,39.48,11.42,59.96,-54.53,7.66,50.53,-86.65
109,109,3.7586206896551726,0,0,0,38.79,-43.29,51.72,-9.18,-41.29,29.57,63.86,-25.4,64.58,-19.95,-19.99,31.56,96.47,-16.59,120.74,-42.81,-9.42,106.34,22.69,2.54,11.11,-5.07,1.77,-10.96,16.68,34.23,23.49,-14.46,29.15,72.28,11.63,59.68,-86.41,3.99,49.14,-65.12
110,110,3.793103448275862,0,0,0,39.2,-43.69,53.13,-9.16,-41.59,39.76,64.09,-25.29,65.81,-21.24,-20.29,57.48,97.07,-17.75,122.28,-44.25,-11.26,142.72,22.78,2.51,10.83,-5.91,1.21,-10.7,16.39,34.42,22.21,-16.72,27.87,53.66,12.48,59.63,-90.47,-1.63,49.21,-76.92
111,111,3.8275862068965516,0,0,0,39.69,-43.93,52.59,-9.15,-42.35,41.37,63.79,-25.27,68.37,-21.63,-21.54,62.81,96.51,-19.73,133.08,-45.71,-12.86,147.65,22.79,2.46,10.32,-6.75,0.87,-10.21,16.62,34.21,18.6,-17.31,27.2,39.68,12.53,59.6,-81.02,-5.21,49.87,-74.67
112,112,3.8620689655172415,0,0,0,40.21,-44.15,38.95,-9.21,-43.01,31.12,63.75,-25.27,66.77,-22.6,-22.34,53.51,93.97,-21.45,139.67,-48.33,-13.87,137.91,22.65,2.44,9.64,-7.42,0.8,-9.54,16.52,34.11,5.59,-16.5,27.2,37.62,12.86,59.44,-99.02,-9.91,52.2,-66.69
113,113,3.896551724137931,0,0,0,40.4,-44.35,41.27,-9.56,-43.73,30.04,62.51,-25.3,87.36,-23.84,-23.09,51.87,90.27,-22.85,185.61,-49.62,-14.79,139.19,22.56,2.43,9.75,-7.99,0.82,-9.65,16.38,34.5,-1.2,-15.81,28.85,-0.74,12.86,59.5,-111.9,-15.06,56.01,-84.97
114,114,3.9310344827586206,0,0,0,40.3,-44.43,30.92,-10.34,-43.73,25.4,60.66,-25.28,77.61,-25.73,-22.91,58.17,85.29,-24.16,170.33,-51.98,-15.79,149.61,22.34,2.58,6.34,-8.81,1.16,-6.23,16.47,34.87,-15.28,-16.22,31.66,4.08,12.73,59.49,-114.92,-19.52,59.37,-58.49
115,115,3.9655172413793105,0,0,0,40.23,-44.33,13.01,-11.76,-43.53,6.39,60.56,-24.36,51.91,-27.42,-22.63,40.71,80.15,-25.05,151.47,-53.27,-16.42,125.47,21.94,3.32,5.14,-9.67,2.27,-5.02,16.59,36.01,-12.12,-16.65,33.68,8.95,12.9,59.99,-101.26,-22.78,60.98,-34.9
116,116,4.0,0,0,0,39.94,-44.25,8.55,-12.75,-43.35,-0.73,59.77,-23.51,39.31,-27.69,-22.49,24.2,74.51,-25.15,117.06,-53.18,-16.71,91.34,21.58,3.67,5.28,-10.45,2.92,-5.15,16.68,36.46,-7.7,-17.07,34.43,8.83,13.02,60.13,-84.77,-23.11,61.27,-29.88
117,117,4.0344827586206895,0,0,0,39.31,-44.22,3.86,-13.66,-43.39,-7.85,57.57,-23.31,36.06,-28.03,-22.52,12.61,67.34,-25.68,114.07,-54.31,-17.05,75.77,21.38,3.6,5.47,-11.03,3.0,-5.34,16.67,36.45,-6.51,-17.61,34.86,8.87,13.12,60.05,-74.32,-23.21,61.99,-28.89
118,118,4.068965517241379,0,0,0,38.36,-44.27,12.65,-14.83,-43.39,-8.4,55.45,-23.39,60.82,-28.98,-22.5,14.37,61.58,-25.97,166.13,-54.43,-16.78,85.91,21.17,3.58,6.5,-11.44,2.93,-6.37,16.69,36.52,-5.18,-17.56,35.11,6.57,13.26,60.12,-75.43,-23.06,61.9,-40.56
119,119,4.103448275862069,0,0,0,37.52,-44.53,8.03,-15.49,-43.62,-6.1,54.23,-24.6,60.03,-29.47,-23.19,20.07,57.99,-26.37,161.82,-53.96,-16.6,94.39,21.02,3.14,5.52,-11.76,2.92,-5.4,16.63,36.38,-12.92,-17.61,35.04,7.63,13.32,60.1,-89.94,-22.99,61.7,-43.44
120,120,4.137931034482759,0,0,0,36.52,-45.12,1.98,-15.87,-44.29,-9.75,53.51,-27.5,48.04,-29.89,-24.13,10.6,57.57,-29.28,154.91,-53.58,-16.44,77.2,20.68,2.21,5.13,-12.11,2.08,-5.01,16.65,36.15,-10.57,-17.81,34.67,8.59,13.56,60.07,-79.89,-23.14,61.49,-36.88
121,121,4.172413793103448,0,0,0,35.93,-45.31,9.96,-16.33,-44.58,-4.16,50.82,-29.0,83.29,-30.75,-24.3,27.95,53.55,-30.46,215.04,-53.73,-16.22,116.23,20.43,1.97,4.65,-12.84,1.71,-4.53,16.67,36.0,-13.19,-17.96,34.44,2.83,13.67,59.92,-104.19,-22.85,61.24,-61.09
122,122,4.206896551724138,0,0,0,35.22,-45.5,12.68,-16.53,-44.75,-2.21,49.09,-30.63,86.8,-31.04,-24.44,26.0,52.16,-31.93,220.33,-53.82,-16.1,111.41,20.01,1.86,4.42,-13.39,1.48,-4.3,16.61,35.95,-14.18,-18.21,34.37,2.27,13.68,59.91,-110.15,-23.09,61.4,-65.41
123,123,4.241379310344827,0,0,0,34.0,-45.83,13.97,-16.88,-44.78,-7.09,48.14,-33.58,102.13,-31.02,-24.45,18.09,51.17,-34.46,241.96,-52.14,-16.0,96.46,19.7,1.64,5.78,-13.53,1.31,-5.67,16.56,35.85,-12.24,-18.38,34.35,-1.25,13.87,59.89,-103.99,-23.02,61.36,-67.35
124,124,4.275862068965517,0,0,0,33.39,-46.37,14.47,-17.43,-44.71,-5.87,46.3,-35.54,93.64,-30.82,-24.66,16.99,49.75,-36.24,216.06,-49.93,-15.47,79.83,19.2,1.65,5.79,-13.82,1.4,-5.68,16.5,35.83,-11.61,-18.57,34.48,0.81,14.27,59.88,-95.41,-23.0,61.45,-57.02
125,125,4.310344827586207,0,0,0,32.46,-46.74,14.61,-17.83,-44.66,-4.01,44.9,-36.29,95.43,-30.65,-24.6,17.41,48.09,-37.48,215.04,-47.38,-14.98,86.03,18.72,1.87,5.77,-14.11,2.02,-5.66,16.38,35.82,-11.63,-18.69,34.63,-0.81,14.61,59.87,-93.87,-22.85,61.33,-59.59
126,126,4.344827586206897,0,0,0,31.61,-47.21,28.08,-18.36,-44.61,-2.98,44.66,-36.79,118.86,-30.56,-24.52,18.26,46.98,-38.38,257.3,-44.15,-13.71,97.19,18.69,1.91,6.68,-13.94,2.25,-6.58,16.35,35.8,-14.73,-18.63,34.64,-3.94,14.84,59.64,-123.98,-22.55,61.24,-80.97
127,127,4.379310344827586,0,0,0,31.28,-47.41,29.99,-18.67,-44.52,-2.76,43.8,-37.21,125.17,-30.54,-24.4,24.23,45.79,-39.95,262.37,-41.42,-12.31,107.93,18.61,1.94,7.18,-13.92,2.31,-7.08,16.35,35.79,-15.46,-18.57,34.64,-5.79,15.21,59.56,-124.57,-22.39,61.19,-83.36
128,128,4.413793103448276,0,0,0,31.39,-47.34,34.31,-18.75,-44.49,2.02,44.08,-36.54,132.73,-30.45,-24.11,27.1,45.88,-39.42,277.38,-39.81,-10.51,107.66,18.59,1.94,7.56,-13.84,2.27,-7.47,16.35,35.61,-15.29,-18.52,34.64,-3.82,15.45,59.53,-120.86,-22.25,61.17,-79.14
129,129,4.448275862068965,0,0,0,31.55,-47.64,27.06,-18.8,-44.47,-6.13,44.37,-36.78,115.41,-29.97,-23.65,12.62,45.58,-40.18,245.2,-38.14,-9.18,76.55,18.59,1.93,7.85,-13.8,2.24,-7.75,16.33,35.61,-14.57,-18.51,34.64,-1.23,15.57,59.52,-104.6,-22.16,61.15,-60.38
130,130,4.482758620689655,0,0,0,31.63,-48.03,22.44,-18.72,-44.46,-12.95,43.9,-36.87,110.13,-29.18,-23.23,6.17,44.64,-42.36,237.55,-37.21,-8.41,69.17,18.58,1.92,8.84,-13.76,2.18,-8.73,16.26,35.55,-13.16,-18.51,34.64,-0.96,15.59,59.51,-96.96,-22.12,61.14,-54.26
131,131,4.517241379310345,0,0,0,31.53,-48.26,28.85,-18.83,-44.46,-10.53,42.64,-36.64,124.15,-28.38,-23.02,3.43,45.1,-42.3,257.88,-36.53,-7.05,65.38,18.55,1.92,10.58,-13.79,2.14,-10.47,16.26,35.54,-14.64,-18.58,34.63,-12.72,15.7,59.53,-115.32,-22.06,61.12,-80.61
132,132,4.551724137931035,0,0,0,31.5,-48.3,28.08,-18.9,-44.44,-12.36,42.05,-36.34,117.46,-27.45,-22.6,-3.77,45.48,-42.01,245.55,-36.51,-6.24,52.66,18.53,1.93,11.49,-13.78,2.14,-11.38,16.28,35.53,-14.52,-18.57,34.64,-10.39,15.85,59.56,-114.35,-21.78,61.1,-76.15
133,133,4.586206896551724,0,0,0,31.54,-48.27,28.04,-19.06,-44.42,-13.97,41.61,-35.55,114.87,-27.26,-22.43,-5.07,45.9,-41.45,244.24,-36.91,-5.93,55.25,18.54,1.93,11.73,-13.77,2.11,-11.63,16.32,35.49,-14.22,-18.56,34.67,-10.19,16.04,59.56,-113.19,-21.34,61.13,-78.27
134,134,4.620689655172414,0,0,0,31.55,-48.31,21.02,-19.14,-44.4,-16.96,41.9,-35.38,101.18,-27.16,-21.87,-8.08,45.79,-40.97,219.14,-37.46,-5.61,46.37,18.54,1.92,11.6,-13.77,2.02,-11.49,16.46,35.39,-12.84,-18.49,34.66,-8.69,16.28,59.52,-101.9,-21.15,61.11,-69.87
135,135,4.655172413793103,0,0,0,31.67,-48.31,22.21,-19.19,-44.34,-14.71,42.15,-34.77,108.51,-27.12,-21.23,-4.36,46.08,-40.79,243.4,-37.51,-5.14,57.24,18.55,1.87,11.43,-13.78,1.9,-11.33,16.56,35.31,-16.34,-18.26,34.67,-12.04,16.47,59.48,-122.94,-20.92,61.1,-85.13
136,136,4.689655172413793,0,0,0,31.78,-48.29,34.77,-19.19,-44.31,-9.52,42.3,-34.56,132.25,-27.14,-20.86,-1.6,46.16,-40.55,273.47,-38.08,-4.87,58.05,18.57,1.84,11.53,-13.74,1.89,-11.42,16.6,34.85,-20.81,-18.09,34.66,-20.05,16.55,59.35,-132.76,-20.52,61.1,-93.77
