RowName,Frame,Timestamp,nose_X,nose_Y,nose_Z,left_shoulder_X,left_shoulder_Y,left_shoulder_Z,right_shoulder_X,right_shoulder_Y,right_shoulder_Z,left_elbow_X,left_elbow_Y,left_elbow_Z,right_elbow_X,right_elbow_Y,right_elbow_Z,left_wrist_X,left_wrist_Y,left_wrist_Z,right_wrist_X,right_wrist_Y,right_wrist_Z,left_hip_X,left_hip_Y,left_hip_Z,right_hip_X,right_hip_Y,right_hip_Z,left_knee_X,left_knee_Y,left_knee_Z,right_knee_X,right_knee_Y,right_knee_Z,left_ankle_X,left_ankle_Y,left_ankle_Z,right_ankle_X,right_ankle_Y,right_ankle_Z
17,17,0.5862068965517241,0,0,0,30.79,-34.46,56.19,-8.14,-32.22,2.19,39.38,-17.41,69.69,-14.9,-15.18,2.33,39.26,-2.47,120.0,-23.59,-2.14,61.85,22.08,2.04,17.69,-0.64,2.04,-17.59,21.57,26.22,11.15,2.29,25.4,-46.61,21.07,48.21,-53.5,5.73,44.16,-117.59
18,18,0.6206896551724138,0,0,0,29.73,-34.52,53.9,-8.69,-31.98,-4.04,37.13,-17.41,70.47,-15.22,-15.08,-6.18,32.72,-3.43,123.8,-24.06,-2.18,50.01,21.6,1.27,18.83,-1.01,1.74,-18.73,20.98,25.32,10.57,2.15,25.08,-43.95,21.32,47.28,-55.09,5.57,44.16,-110.44
19,19,0.6551724137931034,0,0,0,28.88,-34.56,52.13,-9.37,-31.94,-5.94,35.29,-17.47,69.79,-15.63,-15.06,-7.44,27.29,-4.29,122.9,-24.18,-2.22,45.78,20.76,0.8,18.39,-1.6,1.44,-18.3,20.72,24.11,6.25,2.09,24.63,-45.78,21.89,46.5,-57.3,5.53,44.11,-107.13
20,20,0.6896551724137931,0,0,0,28.21,-34.59,64.14,-9.66,-32.05,1.36,32.55,-17.44,88.73,-15.86,-15.07,4.64,21.9,-5.57,146.8,-24.27,-2.2,57.63,20.95,0.21,17.48,-1.45,1.01,-17.4,20.68,22.81,0.96,1.99,23.77,-40.76,23.5,45.27,-63.78,5.18,43.83,-99.39
21,21,0.7241379310344828,0,0,0,27.76,-34.6,60.11,-9.8,-32.11,2.06,31.09,-17.34,84.86,-16.17,-14.98,2.32,18.33,-7.27,138.86,-23.95,-2.1,51.73,21.2,0.02,16.96,-1.34,0.99,-16.88,20.7,22.44,0.08,1.91,23.68,-38.82,25.16,44.42,-66.14,4.84,43.83,-90.38
22,22,0.7586206896551724,0,0,0,27.04,-34.61,57.75,-10.19,-32.1,3.35,29.55,-17.32,75.35,-16.52,-14.68,3.13,13.52,-8.15,129.42,-23.64,-1.95,43.59,21.37,-0.11,16.45,-1.29,0.93,-16.36,21.23,22.12,3.24,1.89,23.54,-32.17,27.26,43.84,-45.74,4.55,43.74,-72.78
23,23,0.7931034482758621,0,0,0,26.71,-34.61,56.5,-10.38,-32.03,1.8,28.61,-17.33,74.97,-16.53,-14.46,-0.47,11.46,-8.7,121.16,-23.13,-1.76,42.47,21.48,-0.12,16.42,-1.24,0.93,-16.32,22.86,22.09,5.49,1.88,23.56,-33.2,30.3,43.98,-45.21,3.83,43.72,-81.73
24,24,0.8275862068965517,0,0,0,26.33,-34.61,55.89,-10.41,-32.01,3.11,28.36,-17.35,72.87,-16.45,-14.29,3.11,9.8,-8.8,118.6,-23.02,-1.63,46.89,21.55,-0.04,15.56,-1.18,0.98,-15.47,24.92,22.32,1.53,1.83,23.61,-35.8,32.82,43.59,-55.76,3.26,43.69,-82.93
25,25,0.8620689655172413,0,0,0,26.07,-34.62,54.48,-10.48,-32.02,3.54,28.18,-17.39,69.16,-16.29,-14.34,2.46,9.76,-8.62,103.79,-22.4,-1.63,41.94,21.56,-0.03,15.54,-1.13,1.01,-15.45,26.6,21.86,9.93,1.79,23.64,-38.15,35.83,42.8,-29.93,2.66,43.64,-84.35
26,26,0.896551724137931,0,0,0,26.0,-34.63,54.94,-10.5,-32.04,3.73,28.07,-17.4,71.66,-16.19,-14.37,2.14,10.47,-8.26,109.52,-21.96,-1.6,43.36,21.72,-0.14,15.89,-0.97,1.01,-15.79,27.91,21.53,9.54,1.78,23.62,-37.64,38.58,42.28,-37.36,2.22,43.62,-84.21
27,27,0.9310344827586207,0,0,0,25.9,-34.63,55.45,-10.46,-32.04,2.21,27.83,-17.29,72.24,-16.16,-14.38,-0.07,11.26,-7.99,110.52,-21.4,-1.58,41.91,21.78,-0.49,16.67,-0.79,1.01,-16.57,29.34,21.16,10.58,1.78,23.56,-40.84,40.84,41.96,-29.17,1.82,43.56,-87.99
28,28,0.9655172413793104,0,0,0,25.87,-34.62,51.1,-10.42,-32.05,-3.2,28.08,-17.24,69.01,-16.12,-14.4,-4.91,13.71,-7.03,107.51,-20.99,-1.49,35.11,21.99,-0.62,16.79,-0.43,1.02,-16.69,31.22,20.99,11.66,1.74,23.52,-41.05,43.36,41.85,-22.29,1.45,43.54,-88.05
